Time;Value
0;1416,196693
360;1025,067399
720;1619,516417
1080;1596,22332
1440;1294,966639
1800;1348,53305
2160;1585,850968
2520;1476,167865
2880;1115,139761
3240;1824,596603
3600;1301,370425
3960;1710,780623
4320;1816,424403
4680;1946,207636
5040;1014,74107
5400;1055,481469
5760;1908,027908
6120;1971,505512
6480;1512,949668
6840;1072,762805
7200;1344,638091
7560;1344,346362
7920;1360,861092
8280;1146,00964
8640;1022,451725
9000;1768,989767
9360;1289,327318
9720;1223,914245
10080;1892,099628
10440;1448,480857
10800;1045,249979
11160;1795,575827
11520;1560,208505
11880;1613,01178
12240;1429,448854
12600;1974,237254
12960;1989,907745
13320;1647,96369
13680;1055,282054
14040;1431,835956
14400;1563,617731
14760;1718,121187
15120;1818,497539
15480;1788,768935
15840;1177,837641
16200;1950,866208
16560;1179,477485
16920;1821,524205
17280;1859,84913
17640;1862,635416
18000;1927,291607
18360;1842,867923
18720;1236,203186
19080;1806,818016
19440;1624,422921
19800;1485,620621
20160;1602,0033
20520;1595,905491
20880;1550,115664
21240;1294,580112
21600;1478,187374
21960;1510,355909
22320;1179,647619
22680;1263,050926
23040;1862,08945
23400;1466,483833
23760;1109,085638
24120;1519,170634
24480;1107,384439
24840;1313,397849
25200;1533,610997
25560;1642,723698
25920;1794,167941
26280;1062,321218
26640;1326,232598
